cluster squared mean,qualifying_starting_difference
1.1818181818181819,20
1.5,22
1.0,8
1.3333333333333333,14
2.0,10
1.0,16
1.3333333333333333,26
1.2222222222222223,18
1.0,18
1.0,20
1.0,8
1.2222222222222223,6
1.0,6
1.75,16
1.8,24
1.2222222222222223,24
1.2222222222222223,12
1.2222222222222223,20
1.3333333333333333,20
1.2,14
1.6,8
1.0,14
1.0,36
1.8333333333333333,12
1.75,14
1.0,18
1.3333333333333333,12
1.2857142857142858,18
1.2222222222222223,34
1.1818181818181819,10
1.3636363636363635,10
1.1818181818181819,12
1.2,8
1.3636363636363635,18
1.3333333333333333,10
1.4,22
1.1818181818181819,12
1.1818181818181819,14
1.2222222222222223,20
1.2,24
1.2222222222222223,18
1.5,32
1.4615384615384615,14
1.0,20
1.875,10
1.0,18
1.0,29
1.6666666666666667,14
1.0,50
1.1428571428571428,32
1.0,28
1.4285714285714286,18
1.2222222222222223,32
6.166666666666667,8
1.2857142857142858,14
1.0,14
1.3076923076923077,20
1.25,24
1.2222222222222223,24
1.3076923076923077,16
1.7272727272727273,12
2.176470588235294,52
1.7692307692307692,28
1.4,18
1.5714285714285714,20
1.1818181818181819,34
1.1428571428571428,14
3.1333333333333333,20
1.3333333333333333,2
1.1333333333333333,12
1.0,20
1.3333333333333333,9
1.0,38
1.1538461538461537,2
1.25,0
3.8333333333333335,2
1.3333333333333333,6
1.0,2
2.375,6
2.066666666666667,16
1.3333333333333333,4
1.0,4
1.1538461538461537,0
1.1538461538461537,6
1.4,6
1.2,0
1.1666666666666667,2
1.2857142857142858,0
2.0,8
1.0,18
1.1818181818181819,0
1.2857142857142858,28
1.0,4
1.5,10
1.0,10
1.3333333333333333,6
1.0,4
1.8333333333333333,0
1.0,16
1.0,2
1.0,8
1.3333333333333333,6
1.0,10
1.2105263157894737,6
1.3333333333333333,4
1.0,2
1.0,8
1.0,4
2.1666666666666665,18
1.1333333333333333,0
1.4705882352941178,14
1.1428571428571428,2
1.4444444444444444,46
2.4,4
1.5714285714285714,12
1.1333333333333333,12
1.2666666666666666,88
1.2857142857142858,98
1.5714285714285714,15
1.1538461538461537,2
1.3076923076923077,18
1.375,2
1.5714285714285714,8
1.1333333333333333,2
1.4285714285714286,10
1.7058823529411764,42
2.076923076923077,10
1.4444444444444444,0
1.5,0
1.1818181818181819,42
