,raceId,median_gap
0,421,434.0
1,422,286.5
2,423,277.5
3,424,182.0
4,425,187.5
5,426,230.0
6,427,310.5
7,428,191.0
8,429,183.0
9,430,345.0
10,431,249.0
11,432,304.0
12,433,350.0
13,434,138.0
14,435,194.0
15,436,215.0
16,437,439.0
17,438,346.0
18,439,468.0
19,440,194.0
20,441,307.0
21,442,219.0
22,443,352.5
23,444,381.0
24,445,176.0
25,446,416.0
26,447,247.0
27,448,190.0
28,449,203.0
29,450,174.0
30,451,380.0
31,452,190.0
32,453,244.0
33,454,114.0
34,455,131.0
35,456,175.0
36,457,145.0
37,458,172.0
38,459,138.0
39,460,153.0
40,461,260.0
41,462,143.0
42,463,221.0
43,464,226.0
44,465,135.0
45,466,102.0
46,467,123.0
47,468,98.0
48,469,188.0
49,470,121.0
50,471,100.0
51,472,75.0
52,473,95.0
53,474,134.0
54,475,86.0
55,476,127.0
56,477,127.0
57,478,128.0
58,479,52.0
59,480,119.0
60,481,81.0
61,482,92.0
62,483,158.0
63,484,118.0
64,485,83.0
65,486,129.0
66,487,122.0
67,488,87.0
68,489,103.0
69,490,66.0
70,491,98.0
71,492,115.5
72,493,168.0
73,494,128.0
74,495,131.0
75,496,164.0
76,497,104.5
77,498,148.5
78,499,184.5
79,500,108.0
80,501,100.0
81,502,130.0
82,503,153.0
83,504,153.0
84,505,127.0
85,506,113.0
86,507,84.0
87,508,176.0
88,509,158.0
89,510,127.0
90,511,160.0
91,512,192.0
92,513,123.0
93,514,93.0
94,515,123.0
95,516,134.0
96,517,96.0
97,518,86.0
98,519,106.0
99,520,178.0
100,521,138.0
101,522,132.0
102,523,63.0
103,524,138.0
104,525,141.0
105,526,130.0
106,527,123.0
107,528,204.0
108,529,105.0
109,530,97.0
110,531,126.0
111,532,122.0
112,533,164.0
113,534,143.0
114,535,118.0
115,536,113.5
116,537,135.5
117,538,195.5
118,539,129.0
119,540,106.5
120,541,187.0
121,542,141.0
122,543,202.0
123,544,279.0
124,545,130.0
125,546,189.0
126,547,186.0
127,548,197.0
128,549,95.0
129,550,121.0
130,551,183.5
131,552,279.0
132,553,228.0
133,554,110.0
134,555,92.0
135,556,109.0
136,557,187.0
137,558,101.0
138,559,724.0
139,560,114.0
140,561,125.0
141,562,109.0
142,563,105.0
143,564,108.0
144,565,290.5
145,566,231.0
146,567,232.0
147,568,180.0
148,569,332.0
149,570,208.0
150,571,247.0
151,572,240.0
152,573,135.0
153,574,304.0
154,575,402.0
155,576,317.0
156,577,243.0
157,578,270.0
158,579,180.0
159,580,411.5
160,581,211.0
161,582,121.0
162,583,177.0
163,584,145.0
164,585,182.0
165,586,197.0
166,587,97.0
167,588,208.0
168,589,130.0
169,590,191.5
170,591,140.0
171,592,250.5
172,593,160.0
173,594,289.5
174,595,158.0
175,596,148.0
176,597,285.0
177,598,197.0
178,599,118.0
179,600,150.0
180,601,165.5
181,602,95.0
182,603,166.0
183,604,76.0
184,605,142.0
185,606,134.0
186,607,147.0
187,608,125.0
188,609,180.0
189,610,96.0
190,611,66.5
191,612,73.0
192,613,132.0
193,614,117.0
194,615,152.0
195,616,141.0
196,617,257.0
197,618,224.0
198,619,130.0
199,620,119.0
200,621,95.0
201,622,167.0
202,623,111.0
203,624,95.0
204,625,147.0
205,626,156.0
206,627,258.0
207,628,118.0
208,629,120.0
209,630,177.0
210,631,200.0
211,632,122.0
212,633,96.0
213,634,111.0
214,635,74.0
215,636,113.0
216,637,106.0
217,638,194.5
218,639,127.0
219,640,129.0
220,641,121.0
221,642,98.0
222,643,172.0
223,644,72.0
224,645,106.0
225,646,179.0
226,647,88.0
227,648,103.0
228,649,91.0
229,650,73.0
230,651,62.0
231,652,127.5
232,653,135.0
233,654,65.0
234,655,99.0
235,656,49.0
236,657,167.0
237,658,138.0
238,659,117.0
239,660,64.0
240,661,82.0
241,662,111.0
242,663,102.0
243,664,123.0
244,665,192.0
245,666,115.0
246,667,223.0
247,668,95.0
248,669,124.0
249,670,170.0
250,671,131.0
251,672,127.0
252,673,167.5
253,674,191.0
254,675,139.0
255,676,142.0
256,677,274.0
257,678,178.0
258,679,92.0
259,680,161.0
260,681,167.0
261,682,158.0
262,683,87.0
263,684,164.0
264,685,99.5
265,686,79.0
266,687,132.0
267,688,78.0
268,689,163.0
269,690,103.0
270,691,158.0
271,692,109.0
272,693,100.0
273,694,185.0
274,695,132.0
275,696,78.0
276,697,179.5
277,698,132.0
278,699,135.0
279,700,75.0
280,701,138.0
281,702,81.0
282,703,59.0
283,704,169.0
284,705,97.0
285,706,60.0
